1,1,2000,1,3,0,0,0,0,1,0,0,0,62.1085,0.790903,0.927084,0,0,4
2,1,2000,1,1,0,0,0,0,1,0,1,0,5.93506,0.581901,0.474722,0,0,8
2,2,2000,1,3,0,0,0,0,1,1,1,0,13.547,0.576994,0.522045,0,0,12
3,1,8000,0,3,0,0,0,0,2,1,1,0,198.816,0.629751,0.654564,0,0,16
4,1,2000,0,3,0,0,1,0,2,1,1,0,207.36,1.46838,22.4893,1,0,21
4,2,2000,0,1,0,1,1,0,2,1,1,0,4.78701,0.258419,1.85308,1,0,25
5,1,2000,1,1,0,1,1,0,2,1,2,0,7.26633,0.540664,0.488497,1,1,30
5,2,2000,1,1,0,1,1,0,2,1,2,1,9.96027,0.207871,0.456414,2,2,36
5,3,2000,1,3,0,1,1,0,2,2,2,1,0.501168,0.0889161,0.524331,2,2,40
6,1,8000,1,1,1,1,1,0,2,2,2,1,11.1035,0.0154936,1.40345,2,2,44
7,1,8000,0,1,1,1,1,0,2,2,3,1,20.103,0.387892,0.572671,2,2,48
7,2,8000,0,1,1,1,1,0,2,2,3,2,7.69344,0.378842,0.619844,2,2,52
7,3,8000,0,1,1,1,1,0,2,2,3,3,4.55635,0.556271,0.485055,2,2,56
7,4,8000,0,3,1,1,1,0,2,3,3,3,6.54328,0.491071,3.56581,2,2,60
8,1,2000,1,1,1,1,1,0,2,3,4,3,3.72485,0.289561,0.631629,2,2,64
8,2,2000,1,1,1,1,1,0,2,3,4,4,20.9572,0.689769,0.601295,7,3,74
8,3,2000,1,1,1,1,1,0,2,3,4,5,4.35676,0.11985,0.8263,7,3,78
8,4,2000,1,3,1,1,1,0,2,4,4,5,1.18231,0.591989,0.467326,7,3,82
9,1,2000,1,1,1,1,1,0,2,4,5,5,3.54561,0.944594,0.487854,7,4,87
9,2,2000,1,1,1,1,1,0,2,4,5,6,55.2322,0.474747,0.632794,7,5,92
9,3,2000,1,1,1,1,1,0,2,4,5,7,17.7089,0.677464,0.56142,7,5,96
9,4,2000,1,1,1,1,1,0,2,4,5,8,122.86,0.851297,1.01514,7,5,100
9,5,2000,1,1,1,1,1,0,2,4,5,9,442.012,0.804754,0.674461,7,5,104
9,6,2000,1,1,1,1,1,0,2,4,5,10,3.81489,0.752208,0.712944,7,5,108
9,7,2000,1,1,1,1,1,0,2,4,5,11,5.74016,0.0155532,1.14805,7,5,112
9,8,2000,1,1,1,1,1,0,2,4,5,12,6.20082,0.422651,0.617829,7,5,116
9,9,2000,1,1,1,1,1,0,2,4,5,13,19.6834,0.774735,0.492598,7,5,120
9,10,2000,1,1,1,1,1,0,2,4,5,14,19.1131,1.19842,0.557822,7,5,124
9,11,2000,1,1,1,1,1,0,2,4,5,15,28.0436,1.00411,0.571606,7,5,128
9,12,2000,1,1,1,1,1,0,2,4,5,16,29.1256,1.02127,0.702016,7,5,132
9,13,2000,1,3,1,1,1,0,2,5,5,16,5.89827,1.32037,0.960721,7,5,136
10,1,8000,1,1,2,1,1,0,2,5,5,16,21.6438,0.947927,0.523908,7,5,140
11,1,2000,0,1,3,1,1,0,2,5,5,16,8.11459,0.291725,0.536054,7,5,144
12,1,2000,1,1,3,1,1,0,2,5,6,16,18.6387,0.187527,0.511878,7,5,148
12,2,2000,1,1,3,1,1,0,2,5,6,17,12.6594,0.488634,0.487899,8,6,154
12,3,2000,1,1,3,1,1,0,2,5,6,18,4.05699,0.786077,0.466703,8,6,158
12,4,2000,1,33,3,1,1,0,2,5,6,19,24.0825,1.16708,33,9,6,163
12,5,2000,1,1,3,1,1,0,2,5,6,20,15.4771,0.592732,0.605649,11,6,169
12,6,2000,1,1,3,1,1,0,2,5,6,21,11.2472,1.1348,0.433286,11,6,173
12,7,2000,1,3,3,1,1,0,2,6,6,21,5.22303,1.17738,2.03247,11,6,177
13,1,2000,0,1,4,1,1,0,2,6,6,21,12.0189,0.708007,0.409535,11,6,181
14,1,8000,1,1,5,1,1,0,2,6,6,21,10.178,0.207061,0.490265,11,6,185
15,1,2000,0,1,6,1,1,0,2,6,6,21,16.5199,0.167265,0.43703,11,6,189
16,1,2000,1,1,6,1,1,0,2,6,7,21,16.9802,0.354801,0.442659,11,6,193
16,2,2000,1,1,6,1,1,0,2,6,7,22,1.5023,0.204793,0.495957,11,6,197
16,3,2000,1,1,6,1,1,0,2,6,7,23,23.0154,0.292311,0.377207,13,6,203
16,4,2000,1,3,6,1,1,0,2,7,7,23,8.12118,0.639547,4.51745,13,6,207
17,1,8000,1,1,7,1,1,0,2,7,7,23,1.65848,0.712024,0.348925,14,6,212
18,1,2000,0,1,8,1,1,0,2,7,7,23,13.1666,0.246659,0.481797,14,6,216
19,1,2000,0,1,9,1,1,0,2,7,7,23,16.9725,0.203808,0.540981,14,6,220
20,1,8000,0,1,9,1,1,0,2,7,8,23,14.3254,0.305648,0.451832,14,6,224
20,2,8000,0,3,9,1,1,0,2,8,8,23,2.77991,0.664256,0.815401,14,6,228
21,1,8000,1,1,10,1,1,0,2,8,8,23,9.31976,1.13576,8.26038,14,6,232
22,1,8000,1,1,11,1,1,0,2,8,8,23,14.6068,0.124697,0.540221,14,6,236
23,1,2000,1,1,11,1,1,0,2,8,9,23,15.446,0.207469,0.415689,14,7,241
23,2,2000,1,1,11,1,1,0,2,8,9,24,0.501208,0.827953,3.54885,14,7,245
23,3,2000,1,3,11,1,1,0,2,9,9,24,2.76833,0.613348,2.45123,14,7,249
24,1,8000,1,1,12,1,1,0,2,9,9,24,2.2141,0.0123612,0.481892,14,7,253
